annotator	(temporary) BGC id	compound name	biological activity 1	biological activity 2	biological activity 3	biological activity 4	if antibacterial, Gram-positive or -negative?	molecular target 1	molecular target 2	molecular target 3	molecular target 4	PubMed ID	doi	Comments	
Nelly/David Meijer	BGC0000032	A23187	Antibacterial	Antifungal			Gram-positive					374324	https://dx.doi.org/10.1128%2Faac.16.6.808		
Nelly	BGC0000034	candicidin	Antifungal									14388629			
Nelly/David Meijer	BGC0000035	chalcomycin A	Antibacterial				Gram-positive					15561847	https:patentimages.storage.googleapis.com3cfb895f003b8bf2cd1aUS3065137.pdf		
Nelly 	BGC0000040	concanamycin A	Antiviral	Antiprotozoa	Inhibitor			vacuolar (V-type) ATPase				16207901			
Nelly/David Meijer	BGC0000042	cremimycin	Antibacterial	Antifungal			Gram-positive					9544932	https://doi.org/10.7164/antibiotics.51.123	Broad antibiotic (including MRSA); no bioactivity against gram-negative bacteria, yeast, and fungi; not antifungal	I found it antitumor.
Nelly 	BGC0000047	10,11-dihydro-8-deoxy-12,13-deepoxy-12,13-dihydrochalcomycin	Antibacterial	Antifungal	Cytotoxic							28555051			
Nelly 	BGC0000050	E-837	Antibacterial									16724457			
Nelly 	BGC0000052	ECO-02301	Antifungal									15844935			
Nelly 	BGC0000058	FD-891	Cytotoxic	Antifungal								20589823,8002384			
Nelly 	BGC0000059	filipin	Antibacterial	Antifungal								14456208			
Nelly 	BGC0000060	fostriecin	Cytotoxic	Antifungal								23990133			
Nelly 	BGC0000061	levorin A3, C06690, FR-008-III, candicidin A, UNII-AP5PEF5W7U	Antifungal									18559273			
Nelly 	BGC0000066	geldanamycin	Antibacterial	Antifungal	Cytotoxic	Antiprotozoa						5459626			
Nelly 	BGC0000067	geldanamycin	Antibacterial	Antifungal	Cytotoxic	Antiprotozoa						5459626			
Nelly 	BGC0000068	geldanamycin	Antibacterial	Antifungal	Cytotoxic	Antiprotozoa						5459626			
Nelly 	BGC0000073	halstoctacosanolide A	Antibacterial									16568718			
Nelly 	BGC0000074	herbimycin A	Antibacterial	Antifungal	Herbicide							468713			
Nelly 	BGC0000075	hygrocin A, hygrocin B	Antibacterial	Antifungal	Cytotoxic							16378365			
Nelly 	BGC0000078	incednine	Cytotoxic	Inhibitor				Bcl-xL				23921821,22480302			
Nelly 	BGC0000079	X-14547	Antibacterial	Antifungal								374324			
Nelly 	BGC0000084	laidlomycin	Antibacterial				Gram-positive					17342048			
Nelly 	BGC0000085	lankamycin	Antibacterial									5367395			
Nelly 	BGC0000086	lasalocid	Antibacterial	Antiprotozoa								4716184			
Nelly 	BGC0000087	lasalocid	Antibacterial	Antiprotozoa								4716184			
Nelly 	BGC0000091	marineosin A, marineosin B	Cytotoxic									19007176			
Nelly 	BGC0000093	meilingmycin	Antibacterial	Antihelmintic	Insecticide							11832500			
Nelly 	BGC0000096	midecamycin	Antibacterial									1228226			
Nelly 	BGC0000100	monensin	Antiprotozoa									5596162			
Nelly 	BGC0000105	nanchangmycin	Antibacterial	Antiviral	Antihelmintic	Insecticide						11832500			
Nelly 	BGC0000106	naphthomycin A	Antibacterial	Cytotoxic								3957792,3997667			
Nelly 	BGC0000108	natamycin	Antifungal									13521908			
Nelly 	BGC0000109	LL-F28249α	Antihelmintic									2764352			
Nelly / Luis Avitia 	BGC0000111	neocarzilin A, neocarzilin B	Cytotoxic									15328113			
Nelly / Luis Avitia 	BGC0000113	niddamycin	Antibacterial				both					1064600			
Nelly 	BGC0000117	oligomycin	Antifungal									24543225			
Nelly 	BGC0000118	pactamycin	Antibacterial	Antiviral	Cytotoxic	Antiprotozoa						13868850			
Nelly 	BGC0000123	phoslactomycin B	Antifungal									2753808			
Nelly / Luis Avitia 	BGC0000124	piericidin A1	Antibacterial	Antifungal	Cytotoxic	Insecticide						28217742 	https://doi.org/10.1016/j.pestbp.2019.03.002	insecticide, antiviral	
Nelly 	BGC0000125	pimaricin	Antifungal									13521908			
Nelly / Luis Avitia 	BGC0000126	pladienolide B	Cytotoxic									31147807			
Nelly 	BGC0000130	pyrrolomycin A, pyrrolomycin B, pyrrolomycin C, pyrrolomycin D	Antibacterial	Antifungal								7309630			
Nelly 	BGC0000131	pyrrolomycin	Antibacterial	Antifungal								7309630			
Nelly 	BGC0000135	reveromycin A	Antifungal	Antiviral								21642985			
Nelly 	BGC0000138	rimocidin	Antifungal	Antiprotozoa								26808253			
Nelly 	BGC0000140	4-hexadecanoyl-3-hydroxy-2-(hydroxymethyl)-2H-furan-5-one	Cytotoxic									32471161			
Nelly 	BGC0000141	rubradirin	Antibacterial									1366609			
Nelly 	BGC0000143	salinomycin	Antibacterial	Antifungal	Cytotoxic	Antiprotozoa						4452657, 31236922, 18062184			
Nelly 	BGC0000157	tautomycetin	Antifungal									2921220			
Nelly 	BGC0000163	tetronasin	Antibacterial	Antifungal								3355139			
Nelly 	BGC0000164	tetronomycin	Antibacterial									7076564			
Nelly 	BGC0000166	tylactone	Antibacterial				Gram-positive					12417742			
Nelly / Luis Avitia 	BGC0000167	vicenistatin	Cytotoxic									8360102			
Nelly / Luis Avitia 	BGC0000190	A-74528	Antiviral									20550125	https://doi.org/10.1074/jbc.M400089200		
Nelly / Luis Avitia 	BGC0000191	aclacinomycin	Antibacterial	Antifungal	Cytotoxic							2424701			
Nelly / Luis Avitia 	BGC0000207	chartreusin	Antibacterial	Cytotoxic									https://doi.org/10.1016/j.chembiol.2005.04.017		
Nelly / Luis Avitia 	BGC0000211	chrysomycin	Cytotoxic	Antiviral	Antibacterial							20140934, 7142022, 32607440		This BGC should be named chrysomycin V o Chrysomycin A, they are the same according to the paper cited in MiBIG https://doi.org/10.1002/cbic.200900673, usually it is reported as Chrysomycin A	
Nelly / Luis Avitia 	BGC0000214	cosmomycin B	Cytotoxic												
Nelly 	BGC0000215	curamycin	Antibacterial												
Nelly 	BGC0000217	daunorubicin	Cytotoxic												
Nelly 	BGC0000218	doxorubicin	Antibacterial	Cytotoxic											
Nelly 	BGC0000222	FD-594	Antibacterial	Cytotoxic								9589063			
Nelly 	BGC0000225	frenolicin B	Antibacterial	Antifungal	Cytotoxic							30661989			
Nelly 	BGC0000226	gilvocarcin V	Antibacterial	Cytotoxic	Antiviral							6815145			
Nelly 	BGC0000228	granaticin	Antibacterial	Cytotoxic								818999; 3435095			
Nelly 	BGC0000231	griseusin	Antibacterial	Cytotoxic											
Nelly 	BGC0000232	hatomarubigin A, hatomarubigin B, hatomarubigin C, hatomarubigin D	Cytotoxic												
Nelly 	BGC0000233	hedamycin	Cytotoxic									5985297			
Nelly 	BGC0000234	jadomycin	Antibacterial	Cytotoxic								19075054; 24231527			
Nelly 	BGC0000235	kiamycin	Cytotoxic									22611353			
Nelly 	BGC0000236	kinamycin	Antibacterial									5458310			
Nelly 	BGC0000237	lactonamycin Z	Antibacterial	Cytotoxic								15015734 (antitumoral)			
Nelly 	BGC0000238	lactonamycin	Antibacterial									10348042			
Nelly 	BGC0000242	lysolipin I	Antibacterial									814871			
Nelly 	BGC0000243	macrotetrolide	Antibacterial												
Nelly 	BGC0000245	medermycin	Antibacterial	Cytotoxic								26541165			
Nelly 	BGC0000246	mithramycin	Antibacterial	Cytotoxic								26459178			
Nelly 	BGC0000248	naphtocyclinone	Antibacterial									11816965			
Nelly 	BGC0000249	nogalamycin	Antibacterial	Cytotoxic								26954881			
Nelly 	BGC0000252	nonactin	Antibacterial	Cytotoxic	Antiviral							4953484; 21472209; 28297606			
Nelly 	BGC0000254	oxytetracycline	Antibacterial									17427500			
Nelly 	BGC0000257	prodigiosin	Antibacterial	Antifungal	Cytotoxic							1,656,114,617,678,640			
Nelly 	BGC0000261	R1128	Cytotoxic												
Nelly 	BGC0000263	ravidomycin	Antibacterial	Cytotoxic								6853365			
Nelly 	BGC0000265	rhodomycin	Antibacterial	Cytotoxic								29691661; 26312766			
Nelly 	BGC0000266	collinomycin	Antibacterial									11372781			
Nelly 	BGC0000268	Sch-47554, Sch-47555	Antibacterial												
Nelly 	BGC0000270	simocyclinone D8	Antibacterial									19273673			
Nelly 	BGC0000277	urdamycin	Antibacterial	Cytotoxic								3818439			
Nelly 	BGC0000279	xantholipin	Antibacterial	Cytotoxic								32651204			
Nelly 	BGC0000288	A-503083 A, A-503083 B, A-503083 E, A-503083 F	Antibacterial												
Nelly 	BGC0000291	A54145	Antibacterial									2380106			
Nelly 	BGC0000296	actinomycin D	Antibacterial	Cytotoxic								15995596			
Nelly 	BGC0000300	amychelin	Siderophore												
Nelly 	BGC0000303	anthramycin	Cytotoxic									5845427			
Nelly 	BGC0000324	coelibactin	Siderophore												
Nelly 	BGC0000325	coelichelin	Siderophore												
Nelly	BGC0000326	isocomplestatin	Antibacterial	Antiviral								171,569,132,051,588			
Nelly	BGC0000327	netropsin	Antiviral									13064157			
Nelly	BGC0000336	daptomycin	Antibacterial									3026240			
Nelly	BGC0000339	echinomycin	Antibacterial	Cytotoxic								6744120; 32823919			
Nelly	BGC0000340	echoside A, echoside B, echoside C, echoside D, echoside E	Antibacterial									24507923			
Nelly	BGC0000341	enduracidin	Antibacterial									4299887			
Nelly	BGC0000353	tacrolimus	Other									2484094		Immunosuppressive	
Nelly	BGC0000360	GE81112	Antibacterial									16380421			
Nelly	BGC0000366	gobichelin A, gobichelin B	Siderophore									23336063			
Nelly	BGC0000368	streptobactin	Siderophore												
Nelly	BGC0000373	holomycin	Antibacterial	Cytotoxic	Antiviral							PMC90323; 24323287			
Nelly	BGC0000375	indigoidine	Antibacterial									27660622			
David Meijer	BGC0000376	JBIR-34,	Antioxidant					DPPH radical					doi:10.1021/np900810r	weak DPPH radical scavenging activity; no cytotoxic activity against several cancer cell lines and no antibacterial activity against Micrococcus luteus and Escherichia coli	
David Meijer	BGC0000376	JBIR-35	Antioxidant					DPPH radical					doi:10.1021/np900810r	weak DPPH radical scavenging activity; no cytotoxic activity against several cancer cell lines and no antibacterial activity against Micrococcus luteus and Escherichia coli	
Nelly	BGC0000379	glycinocin A	Antibacterial												
Nelly	BGC0000382	lipstatin	Other									30020314		inhibitor of pancreatic lipase, therapeutic cardioprotective	
Nelly	BGC0000388	mannopeptimycin	Antibacterial												
Nelly	BGC0000394	naphthyridinomycin	Antibacterial									807549			
Nelly	BGC0000409	porothramycin A	Antibacterial	Cytotoxic								3192492			
Nelly	BGC0000414	quinocarcin	Cytotoxic									6860429			
Nelly	BGC0000415	quinomycin	Cytotoxic									26673007			
Nelly	BGC0000422	saframycin A, saframycin B	Antibacterial	Cytotoxic								591455			
Nelly	BGC0000423	scabichelin	Siderophore												
Nelly	BGC0000432	streptothricin	Antibacterial									16560703			
Nelly	BGC0000434	SW-163C, UK-63598, SW-163E, SW-163F, SW-163G	Cytotoxic												
Nelly	BGC0000444	thaxtomin A	Herbicide												
Nelly	BGC0000448	tomaymycin	Antibacterial	Antifungal	Cytotoxic	Antiviral						4,648,485,328,469			
Nelly	BGC0000450	triostin A	Cytotoxic												
Nelly	BGC0000458	viomycin	Antibacterial												
Nelly	BGC0000466	yatakemycin	Antifungal	Cytotoxic								12715869			
Nelly	BGC0000469	bottromycin A2	Antibacterial												
Nelly	BGC0000470	bottromycin D	Antibacterial												
Nelly	BGC0000496	AmfS	Other											Morphogenesis	
Nelly	BGC0000565	goadsporin	Antibacterial											Morphogenesis	
Nelly	BGC0000605	GE37468	Antibacterial									7592021			
David Meijer	BGC0000606	lactazole	Cytotoxic					signaling cascades triggered by bone morphogenetic protein (putative)					https://doi.org/10.1016/j.chembiol.2014.03.008	No antimicrobial activity found yet; lkaline phosphatase activity of osteoblastic C2C12 (R206H) cells was reduced by treatment with lactazoles	
Nelly	BGC0000610	nosiheptide	Antibacterial									27913416			
Nelly	BGC0000611	siomycin A	Antibacterial	Cytotoxic								4934927; 26594769			
Nelly	BGC0000614	thiostrepton	Antibacterial	Cytotoxic								31638335			
Nelly	BGC0000625	thioviridamide	Cytotoxic									16568712			
Nelly	BGC0000633	carotenoid	Other												
Nelly	BGC0000649	carotenoid	Other												
Nelly	BGC0000651	KS-505a	Antiprotozoa									19168977			
Nelly	BGC0000652	napyradiomycin	Antibacterial									3710909			
Nelly	BGC0000653	pentalenolactone	Antibacterial	Antifungal	Antiprotozoa										
Nelly	BGC0000655	siomycin	Antibacterial									4934927			
Nelly/David Meijer	BGC0000658	2-methylisoborneol	Unknown											volatile; 2-Methylisoborneol (2-MIB) is the primary cause of the earthy and musty odor produced by cyanobacteria	
Nelly	BGC0000660	albaflavenone	Antibacterial												
Nelly/David Meijer	BGC0000662	grixazone	Cytotoxic	Antibacterial	Pigment		Unknown	Unknown	Unknown				https://doi.org/10.1074/jbc.M505806200; https://doi.org/10.1016/j.tibtech.2009.01.001	parasiticide; yellow pigment; antimicrobial	
Nelly/David Meijer	BGC0000663	hopene	Cytotoxic					Antimalaria					https://doi.org/10.3389/fbioe.2020.00426	Precursor for bioactive hopanoids; antimalaria	
Nelly/David Meijer	BGC0000664	isorenieratene	Pigment 					NA					https://doi.org/10.1016/S0016-7037(01)00549-X		
Nelly/David Meijer	BGC0000674	(-)-δ-cadinene	Cytotoxic					Antitumor				26261482	10.2174/1386207319666160506123520		
Nelly	BGC0000675	(+)-T-muurolol	Antifungal									18206367			
Nelly	BGC0000678	pentalenolactone	Antibacterial	Antifungal	Cytotoxic										
Nelly/David Meijer	BGC0000683	avermitilol	Unknown					NA							
Nelly	BGC0000690	hydroxystreptomycin	Antibacterial									14897819			
Nelly	BGC0000698	hygromycin A	Antibacterial									24542808			
Nelly	BGC0000699	hygromycin A	Antibacterial									24542808			
Nelly	BGC0000700	istamycin	Antibacterial									511787			
Nelly	BGC0000701	jinggangmycin	Antibacterial	Antifungal								3269390; 26388431			
Nelly	BGC0000702	kanamycin	Antibacterial												
Nelly	BGC0000707	kasugamycin	Antifungal	Cytotoxic											
Nelly	BGC0000708	lividomycin	Antibacterial									5091209			
Nelly	BGC0000711	neomycin	Antibacterial									17782716			
Nelly	BGC0000712	paromomycin	Antibacterial	Antihelmintic	Antiprotozoa							13595492; 18947845			
Nelly	BGC0000713	ribostamycin	Antibacterial									779802			
Nelly	BGC0000715	actinospectacin	Antibacterial									14461632			
Nelly	BGC0000716	spectinomycin	Antibacterial									14287971			
Nelly	BGC0000723	β-D-galactosylvalidoxylamine-A	Antifungal												
Nelly	BGC0000724	streptomycin	Antibacterial												
Nelly	BGC0000804	acarviostatin I03, acarviostatin II03, acarviostatin III03, acarviostatin IV03	Other					alpha-amylase inhibitor							
Nelly	BGC0000825	staurosporine	Antifungal	Cytotoxic								3457562			
Nelly	BGC0000826	staurosporine	Antifungal	Cytotoxic								3457562			
Nelly	BGC0000835	simocyclinone	Antibacterial	Cytotoxic											
Nelly	BGC0000842	carbapenem MM4550	Antibacterial												
Nelly	BGC0000844	clavulanic acid	Antibacterial									.			
Nelly/David Meijer	BGC0000848	A-factor	Regulatory					receptor protein					10.1111/j.1365-2958.1994.tb01073.x	lactone; regulatory; A-factor is a gamma-butyrolactone	
Nelly/David Meijer	BGC0000850	γ-butyrolactone	Regulatory 					receptor protein					doi.org/10.1046/j.1365-2958.2001.02562.x	lactone; autoregulator	
Nelly	BGC0000851	albonoursin	Antibacterial	Cytotoxic								4783201			
Nelly	BGC0000853	ectoine	Other									https://opus4.kobv.de/opus4-bam/frontdoor/index/index/docId/37680		cell protectant, osmoregulator solute	
Nelly	BGC0000872	A-90289 A, A-90289 B	Antibacterial												
Nelly	BGC0000874	blasticidin S	Antiprotozoa	Antifungal								28878744			
Nelly	BGC0000876	neopolyoxin C	Antifungal	Insecticide											
Nelly	BGC0000877	polyoxin A, polyoxin H	Antifungal												
Nelly	BGC0000878	puromycin	Antibacterial	Cytotoxic	Antiprotozoa							31022952; 25314098 			
Nelly	BGC0000879	toyocamycin, sangivamycin	Antibacterial	Cytotoxic	Antiprotozoa							13345725,560201;3013084			
Nelly	BGC0000882	mildiomycin	Antibacterial	Antifungal								681232			
Nelly	BGC0000883	arginomycin	Antibacterial	Antifungal								3610832			
Nelly/David Meijer	BGC0000885	4-hydroxy-3-nitrosobenzamide	Unknown											Could not find approriate article with listed bioactivity	
Nelly	BGC0000886	allylmalonyl-CoA	Unknown										doi.org/10.1021/ja108399b	No activity listed	
Nelly	BGC0000889	bagremycin A, bagremycin B	Antibacterial	Antifungal	Cytotoxic							30526412			
Nelly	BGC0000896	cycloserine	Antibacterial												
Nelly	BGC0000897	dehydrophos	Antibacterial												
Nelly/David Meijer	BGC0000899	desosamine	Unknown										doi.org/10.1016/j.bmcl.2012.05.110	Precursor to/substructure of macrolide antibiotics; activity of desosamine on its own not described	
David Meijer	BGC0000903	fluoroacetate	Cytotoxic					Protein						readily converted to fluorocitrate which inhibits the Krebs cycle	
David Meijer	BGC0000903	4-fluorothreonine	Antibacterial					Unknown 				12404452			
Nelly	BGC0000904	FR-900098	Antibacterial	Antiprotozoa								27260413			
Nelly	BGC0000907	lincomycin	Antibacterial									14274890			
Nelly/David Meijer	BGC0000908	melanin	Unknown											lots of bioactivities are known for melanins but not specifically for this BGC's origin species (doi.org/10.1016/j.ijbiomac.2018.11.061)	
Nelly/David Meijer	BGC0000912	melanin	Unknown											lots of bioactivities are known for melanins but not specifically for this BGC's origin species (doi.org/10.1016/j.ijbiomac.2018.11.061)	
Nelly	BGC0000914	methylenomycin A	Antibacterial	Antifungal								4604814			
David Meijer	BGC0000918	ochronotic pigment	Unknown												
Nelly	BGC0000933	xiamenmycin A	Other											anti-fibrotic	
Nelly	BGC0000941	desferrioxamin B	Other											chelator for (89)Zr(IV) PMID: 31229836 	
Nelly	BGC0000949	A-500359 A, A-500359 B	Antibacterial									12760681			
Nelly	BGC0000951	pacidamycin 1, pacidamycin 2, pacidamycin 3, pacidamycin 4, pacidamycin 5, pacidamycin 6, pacidamycin 7, pacidamycin D	Antibacterial									2498263			
Nelly	BGC0000957	mycotrienin I	Antifungal									6833138			
Nelly	BGC0000960	azinomycin B	Cytotoxic									3793621			
Nelly	BGC0000994	FR-900520	Antifungal	Other										Immunosupresor	
Nelly	BGC0000998	guadinomine	Other											anti-infective	
Nelly	BGC0001002	jawsamycin	Antifungal												
Nelly	BGC0001011	meridamycin	Other											neuroprotectant	
Nelly	BGC0001013	meridamycin	Other											neuroprotectant	
Nelly	BGC0001020	muraymycin C1	Antibacterial									12951123			
Nelly	BGC0001036	polyoxypeptin	Cytotoxic												
Nelly	BGC0001039	pyridomycin	Antibacterial												
Nelly	BGC0001040	rapamycin	Antifungal	Cytotoxic								1102508,6683650			
Nelly	BGC0001042	sanglifehrin A	Antiviral	Other								10458817		Immunosupresor	
David Meijer	BGC0001043	SGR PTMs	Unknown										10.1038/ncomms3894 	Putative antibiotic, putative antifungal, putative antioxidant	
Nelly	BGC0001063	undecylprodigiosin	Antibacterial	Antifungal	Cytotoxic							24562326; 20878541		Antiprotozoa	
Nelly	BGC0001065	herboxidiene	Cytotoxic	Herbicide								1500359			
Nelly	BGC0001074	cosmomycin D	Antibacterial	Cytotoxic								3700244			
Nelly	BGC0001078	furaquinocin B	Cytotoxic												
Nelly	BGC0001085	teleocidin B1	Other											Tumor promoter	
Nelly	BGC0001100	lankacidin C	Antibacterial	Cytotoxic	Other							1148,4792112		Immunosupresor	
Nelly	BGC0001106	oxalomycin B	Cytotoxic	Antiviral											
Nelly	BGC0001116	virginiamycin S1	Antibacterial												
Nelly	BGC0001117	himastatin	Antibacterial	Cytotoxic								2211362			
Nelly	BGC0001145	cyclothiazomycin b1	Antifungal									21885289			
Nelly	BGC0001148	pheganomycin	Antibacterial									26306817			
Nelly	BGC0001151	valclavam, (-)-2-(2-hydroxyethyl)clavam	Antibacterial	Antifungal								3304182			
Nelly	BGC0001168	livipeptin	Inhibitor											Protease inhibitor 	
Nelly	BGC0001181	geosmin	Other											odorant	
Nelly	BGC0001183	lobophorin A	Antibacterial									21897400		antiinflammatory	
Nelly	BGC0001188	legonaridin													
David Meijer	BGC0001194	hitachimycin	Antibacterial	Antifungal	Cytotoxic		Gram-positive					7275806, 6833150	https://doi.org/10.7164%2Fantibiotics.36.301	Antitumor as well	Then I will add cytotoxic (nelly)
David Meijer	BGC0001196	desotamide	Antibacterial				Gram-positive					25072108	https://doi.org/10.1021/acs.jnatprod.5b00009		
Nelly	BGC0001199	akaeolide	Antibacterial	Cytotoxic											
	BGC0001200	lorneic acid A													
Nelly	BGC0001204	versipelostatin	Cytotoxic									15914903			
Nelly	BGC0001206	indolmycin	Antibacterial									15243028			
Nelly	BGC0001213	nataxazole	Cytotoxic									19168984			
Nelly	BGC0001214	marformycin A, marformycin B, marformycin C, marformycin D, marformycin E, marformycin F	Other											anti-infective	
Nelly	BGC0001215	conglobatin	Cytotoxic									26091168			
Nelly	BGC0001216	splenocin	Other					cytokine IL-4				30417645		Splenocin B- anti-inflammatory cytokine IL-4	
Nelly	BGC0001217	PreQ0 Base	Cytotoxic									25353335			
Nelly	BGC0001225	celesticetin	Antibacterial									4383871			
Nelly	BGC0001227	isorenieratene	Other											carotene	
Nelly	BGC0001233	feglymycin	Antibacterial	Antiviral								22959895			
Nelly	BGC0001236	thiotetroamide	Antibacterial									6833125			
Nelly	BGC0001287	chaxamycin A, chaxamycin B, chaxamycin C, chaxamycin D	Antibacterial	Cytotoxic								30451442			
Nelly	BGC0001292	A33853	Cytotoxic	Antiprotozoa								26496684			
Nelly	BGC0001293	cyclizidine	Cytotoxic												
Nelly	BGC0001294	7-prenylisatin	Antibacterial									26438963			
Nelly	BGC0001295	cremeomycin	Cytotoxic									7622439			
	BGC0001296	streptazone E													
	BGC0001297	WS9326													
Nelly	BGC0001298	4-Z-annimycin	Unknown									29148157		A similar compound annimycin B is  antiprotozoan	
Nelly	BGC0001300	anthracimycin	Antibacterial	Cytotoxic								23776159; 28668827			
Nelly	BGC0001301	anthracimycin	Antibacterial	Cytotoxic								23776159; 28668827			
Nelly	BGC0001302	lomofungin	Antibacterial	Antifungal								5785961			
	BGC0001307	chaxapeptin													
Nelly	BGC0001310	naringenin	Antibacterial	Cytotoxic								10857921,15744083			
Nelly	BGC0001332	microtermolide A	Cytotoxic												
Nelly	BGC0001349	heronamide A, heronamide B, heronamide C, heronamide D, heronamide E, heronamide F	Antifungal									27171897		membrane-binding	
Nelly	BGC0001366	BE-24566B, zunyimycin A	Antifungal									8557611			
Nelly	BGC0001368	JBIR-126 tambromycin 	Cytotoxic									29481729			
	BGC0001370	lipopeptide 8D1-1, lipopeptide 8D1-2													
Nelly	BGC0001374	thienodolin	Other											plant growth-regulator	
Nelly	BGC0001377	uncialamycin	Antibacterial									16268546			
Nelly	BGC0001378	tiancimycin	Cytotoxic									29396746			
Nelly	BGC0001379	BD-12	Antibacterial									5701774			
Nelly	BGC0001384	saprolmycin E	Antifungal												
Nelly	BGC0001386	JBIR-76, JBIR-77	Cytotoxic									26732254			
Nelly	BGC0001387	nucleocidin	Antiprotozoa									13425454			
Nelly	BGC0001396	aldgamycin J, aldgamycin K, aldgamycin P, aldgamycin E	Antibacterial									14288037			
Nelly	BGC0001397	lidamycin	Cytotoxic									30542729			
Nelly	BGC0001406	telomycin	Antibacterial									26043159			
Nelly	BGC0001409	dutomycin	Cytotoxic									1490891			
Nelly	BGC0001414	griselimycin	Antibacterial									28106929			
Nelly	BGC0001444	caboxamycin	Antibacterial	Antifungal	Cytotoxic							19198633			
Nelly	BGC0001453	desferrioxamine	Siderophore	Antiprotozoa								6822409			
Nelly	BGC0001454	germicidin	Inhibitor											germination inhibitor	
Nelly	BGC0001455	antimycin	Insecticide									15442289		carotene	
	BGC0001456	isorenieratene													
	BGC0001457	jomthonic acid A, jomthonic acid B, jomthonic acid C													
Nelly	BGC0001472	berninamycin A	Antibacterial									4980191			
	BGC0001483	5-isoprenylindole-3-carboxylate β-D-glycosyl ester													
Nelly	BGC0001487	3,7-dihydroxytropolone	Antibacterial	Cytotoxic	Antiviral							3417559			
Nelly	BGC0001492	abyssomicin M, abyssomicin N, abyssomicin O, abyssomicin P, abyssomicin Q, abyssomicin R, abyssomicin S, abyssomicin T, abyssomicin U, abyssomicin V, abyssomicin W, abyssomicin X	Antiviral									31894364			
Nelly	BGC0001493	achromosin	Antibacterial												
Nelly	BGC0001497	actinonin	Antibacterial	Antiviral								13900478; 24705170		Metalloproteinase inhibitors	
Nelly	BGC0001506	anantin B1, anantin B2												antagonist atrial natriuretic factor	
	BGC0001507	anantin C													
Nelly	BGC0001510	anisomycin	Antifungal	Cytotoxic	Antiprotozoa							6027796			
Nelly	BGC0001512	BE-24566B	Antibacterial									8557611			
Nelly	BGC0001514	aristeromycin	Antibacterial	Antifungal	Antiviral							5671989			
Nelly	BGC0001519	aurantimycin A	Antibacterial									7706121			
Nelly	BGC0001522	auroramycin	Antibacterial	Antifungal								31181115			
Nelly	BGC0001523	azalomycin F3a	Antibacterial	Antifungal								4970571,4861279			
Nelly	BGC0001529	bezastatin derivates	Cytotoxic									21224859		free radical scavengers	
Nelly	BGC0001530	bicyclomycin	Antibacterial									4567453		inhibitor of the bacterial transcription termination factor	
Nelly	BGC0001533	borrelidin	Antibacterial	Antifungal	Cytotoxic							18134558,5836317, 30027371; 22967236		Antiviral	
	BGC0001535	branched-chain fatty acids													
Nelly	BGC0001537	butyrolactol A	Antifungal									1429230			
Nelly	BGC0001538	caboxamycin	Antibacterial	Cytotoxic								19198633			
Nelly	BGC0001539	cattlecin													
Nelly	BGC0001540	CC-1065	Cytotoxic									104946			
	BGC0001548	citrulassin A													
	BGC0001549	citrulassin B													
	BGC0001550	citrulassin D													
	BGC0001551	citrulassin E													
